
gen best mean std

0 57.247427 -2.911881 9.765069

1 57.247427 2.372112 15.453969

2 57.247427 13.306294 20.209286

3 57.247427 25.327307 18.198323

4 57.247427 35.281820 14.490214

5 57.247427 43.950918 12.011219

6 57.247427 50.545128 8.201002

7 57.247427 53.311379 8.345817

8 57.247427 56.238637 3.628418

9 57.247427 57.247427 0.000000

10 57.247427 57.247427 0.000000

11 57.247427 57.247427 0.000000

12 57.247427 57.247427 0.000000

13 57.247427 57.247427 0.000000

14 57.247427 57.247427 0.000000

15 57.247427 57.247427 0.000000

16 57.247427 57.247427 0.000000

17 57.247427 57.247427 0.000000

18 57.247427 57.247427 0.000000

19 57.247427 57.247427 0.000000

20 57.247427 57.247427 0.000000
