
gen best mean std

0 39.013548 -2.731927 10.624974

1 39.013548 -1.235710 10.568287

2 48.070411 5.035578 16.461750

3 75.013548 9.322907 19.319605

4 75.013548 16.849074 21.492403

5 75.013548 23.276129 22.302036

6 94.785064 25.951800 25.855788

7 94.785064 32.208338 28.177070

8 94.785064 31.540914 27.274194

9 85.368669 34.144823 30.327596

10 85.368669 41.482686 28.122317

11 94.900134 52.548167 28.760685

12 94.900134 52.386814 31.540300

13 94.900134 55.220175 33.779684

14 94.900134 61.181334 33.030852

15 94.900134 66.367693 31.543356

16 94.900134 65.329076 35.544123

17 94.900134 68.883220 31.313652

18 94.900134 63.489825 36.014540

19 94.900134 63.646939 37.772106

20 94.900134 61.087935 36.265053

21 93.633853 67.634258 33.529973

22 93.633853 72.139676 32.755084

23 93.633853 69.900691 34.870883

24 93.675744 70.521729 38.360925

25 93.675744 78.701894 31.995412

26 93.675744 75.534724 32.050030

27 93.675744 74.851977 34.409751

28 93.675744 82.409539 26.430793

29 93.675744 77.068270 35.116063

30 93.675744 78.887666 32.422102

31 93.675744 77.981229 35.220604

32 93.675744 80.627362 31.766627

33 93.675744 77.351036 33.314876

34 93.675744 74.590672 36.622281

35 93.675744 79.998171 31.648597

36 93.675744 80.912502 29.440327

37 93.675744 86.518944 24.154881

38 93.675744 76.738118 35.739642

39 93.675744 77.362361 33.914217

40 93.675744 77.545954 35.103482

41 93.675744 82.258659 29.512595

42 93.675744 79.266552 32.952545

43 93.675744 76.771120 35.021801

44 93.675744 79.292051 32.741099

45 93.675744 77.375174 34.417756

46 93.675744 75.568070 36.445384

47 93.675744 76.535412 34.103412

48 93.675744 79.524538 31.461587

49 93.675744 85.436538 24.599384

50 93.675744 80.005451 31.561571
