
gen best mean std

0 39.013548 -3.024279 8.851864

1 48.023649 0.645271 13.506772

2 48.023649 5.962590 16.250409

3 57.188859 14.730131 19.258231

4 66.203942 24.144038 19.848537

5 66.203942 28.737411 19.120313

6 75.269900 27.749977 21.352683

7 66.139214 26.923954 21.740464

8 75.269900 27.954764 21.640752

9 75.269900 28.553712 20.973491

10 75.269900 30.617790 21.563719

11 75.269900 33.345930 21.703725

12 75.269900 30.216074 23.411113

13 75.269900 31.312542 23.137957

14 75.269900 31.193939 21.989034

15 94.852506 26.343473 24.458565

16 94.852506 30.047573 23.148726

17 94.852506 33.812824 22.025568

18 94.852506 33.921380 23.136055

19 94.852506 35.132613 21.775531

20 94.852506 32.662772 23.269861
