
gen best mean std

0 56.993647 -3.367016 9.048184

1 39.013548 -1.092238 10.692119

2 39.122264 2.675233 12.912881

3 39.136369 7.980264 15.199374

4 48.023649 14.986769 16.865766

5 56.513839 21.598497 18.215109

6 57.133532 25.629906 19.260158

7 57.133532 26.321795 20.328471

8 57.070411 25.280370 22.593419

9 57.018586 26.335336 23.223503

10 57.018586 33.665557 20.945273

11 57.018586 32.417001 24.087144

12 66.013548 34.562869 23.724250

13 66.059829 37.333318 25.214846

14 85.083798 36.303618 27.078498

15 85.083798 40.181015 23.369393

16 75.013548 37.133418 25.990066

17 75.013548 39.035194 25.927678

18 75.013548 38.609649 26.693628

19 94.900134 42.952050 25.665993

20 94.900134 45.626658 26.493279

21 94.900134 50.056483 24.428495

22 94.900134 54.358098 24.645774

23 94.900134 51.571728 30.158416

24 94.900134 53.289295 29.280461

25 94.900134 54.050889 31.137407

26 94.900134 66.328079 25.665133

27 94.900134 68.959777 29.803307

28 94.900134 66.569822 33.709608

29 94.900134 68.284216 34.180304

30 94.900134 65.619488 36.778743

31 94.900134 61.230227 39.561821

32 94.900134 66.358258 37.063805

33 94.900134 69.371017 38.681763

34 94.900134 75.597118 31.157709

35 94.900134 74.922354 35.853030

36 94.900134 80.367279 31.516780

37 94.900134 79.269106 32.879397

38 94.900134 72.637520 37.398059

39 94.900134 74.987209 34.975987

40 94.900134 74.336729 35.684968

41 94.900134 73.570491 39.127918

42 94.900134 78.828838 34.314358

43 94.900134 80.410834 32.578564

44 94.900134 76.350507 36.571058

45 94.900134 78.256933 35.779857

46 94.900134 79.174680 34.716222

47 94.900134 84.577955 28.594164

48 94.900134 76.418453 37.296134

49 94.900134 83.489137 29.368514

50 94.900134 74.843770 38.370348
