
gen best mean std

0 88.871732 10.815423 24.905150

1 88.871732 26.398461 30.490375

2 88.886695 38.112894 31.733411

3 88.886695 42.426872 33.031004

4 88.886695 45.433904 32.738917

5 88.886695 48.321730 33.434793

6 88.886695 52.910509 31.249276

7 88.886695 53.610735 32.826369

8 88.891733 55.828146 33.182202

9 89.181683 63.516601 32.101238

10 89.186695 74.182518 25.954398

11 89.186695 70.218631 32.555135

12 89.186695 77.910862 24.363832

13 89.186695 77.065121 24.893540

14 89.186695 76.411568 28.424850

15 89.186695 72.619797 33.085562

16 89.186695 79.095790 25.231381

17 89.186695 75.356524 29.507741

18 89.186695 75.933071 26.377390

19 89.186695 74.476276 29.094015

20 89.306695 78.138683 25.626629

21 89.306695 73.267996 28.842463

22 89.306695 76.997650 29.638237

23 89.306695 77.877432 26.943869

24 89.306695 74.713624 30.294517

25 89.306695 78.211239 26.793421

26 89.306695 73.500208 32.450997

27 89.306695 75.511252 30.859375

28 89.306695 81.337817 24.118237

29 89.306695 80.977473 24.782977
