
gen best mean std

0 57.244258 -2.663514 10.765796

1 57.244258 0.804851 14.364816

2 66.078422 6.239513 17.956040

3 66.078422 14.938939 20.926671

4 57.018586 19.646389 20.556593

5 94.785064 26.374143 20.162630

6 66.269900 31.466802 17.768869

7 66.269900 28.694648 19.635689

8 66.168118 28.612590 20.459832

9 66.168118 29.817416 20.692251

10 66.168118 30.658138 21.007791

11 66.269900 29.569338 22.698580

12 94.785064 33.872371 22.711412

13 94.785064 36.734926 23.512530

14 94.785064 37.315683 24.401296

15 94.785064 38.554134 25.123733

16 94.785064 41.026050 22.501832

17 74.591471 42.854038 21.245019

18 74.591471 39.976004 23.680880

19 94.785064 38.048662 26.238747

20 94.785064 42.768686 23.827475

21 94.785064 42.667203 25.415448

22 94.785064 42.219536 26.947490

23 94.785064 40.884667 27.524620

24 94.785064 42.255740 27.714379

25 94.785064 44.713850 29.233618

26 94.785064 45.270023 30.015464

27 94.785064 43.773932 34.524706

28 94.785064 51.866415 32.251129

29 94.852506 56.447916 34.239335

30 94.852506 64.815080 36.633893
