
gen best mean std

0 56.742332 0.329500 12.645189

1 56.742332 9.444520 16.421386

2 56.742332 23.544494 14.677503

3 56.855814 34.061926 13.276927

4 65.744250 41.437324 12.377456

5 66.372379 49.268040 9.600947

6 86.218586 55.739979 8.313353

7 86.218586 59.010582 6.980954

8 86.793424 64.274617 10.310322

9 87.003556 70.310101 9.865095

10 87.003556 76.647900 9.078937

11 87.003556 82.066677 7.709606

12 87.003556 85.797394 3.123492

13 87.003556 86.618926 1.741251

14 87.468774 86.939360 0.114515

15 87.468774 86.845360 2.135599

16 87.468774 87.026817 0.101392

17 87.468774 87.061708 0.153856

18 87.468774 87.129165 0.206538

19 87.468774 87.233839 0.232597

20 87.468774 87.219772 2.168626

21 87.468774 87.459469 0.065130

22 87.468774 87.468774 0.000000

23 87.838793 87.473860 0.034511

24 87.666602 87.475246 0.031981

25 87.666602 87.480970 0.043225

26 87.666602 87.491159 0.057271

27 87.666602 87.514562 0.074317

28 89.218586 87.582911 0.247686

29 90.122358 87.688997 0.382411

30 90.122358 87.689482 2.266917
